stock_code,training_units,active_weeks,description
84077,84073,81,WORLD WAR 2 GLIDERS ASSTD DESIGNS
21212,80345,82,PACK OF 72 RETROSPOT CAKE CASES
85123A,78933,82,WHITE HANGING HEART T-LIGHT HOLDER
85099B,72060,82,JUMBO BAG RED RETROSPOT
17003,62367,76,BROCADE RING PURSE
84879,58168,82,ASSORTED COLOUR BIRD ORNAMENT
22197,52576,82,POPCORN HOLDER
84991,45921,82,60 TEATIME FAIRY CAKE CASES
21977,45838,82,PACK OF 60 PINK PAISLEY CAKE CASES
15036,38945,80,ASSORTED COLOURS SILK FAN
84755,34843,82,COLOUR GLASS T-LIGHT HOLDER HANGING
21213,33360,82,PACK OF 72 SKULL CAKE CASES
21232,32097,82,STRAWBERRY CERAMIC TRINKET BOX
20725,31424,82,LUNCH BAG RED RETROSPOT
22492,31241,62,MINI PAINT SET VINTAGE
84568,30153,74,GIRLS ALPHABET IRON ON PATCHES
84992,29855,82,72 SWEETHEART FAIRY CAKE CASES
21982,29696,72,PACK OF 12 SUKI TISSUES
22178,29581,82,VICTORIAN GLASS HANGING T-LIGHT
85099F,29399,81,JUMBO BAG STRAWBERRY
22616,28840,62,PACK OF 12 LONDON TISSUES
71459,28640,81,HANGING JAM JAR T-LIGHT HOLDER
22386,28429,76,JUMBO BAG PINK POLKADOT
84946,26710,82,ANTIQUE SILVER T-LIGHT GLASS
21080,26540,82,SET/20 RED RETROSPOT PAPER NAPKINS
21975,25898,82,PACK OF 60 DINOSAUR CAKE CASES
21980,24495,80,PACK OF 12 RED RETROSPOT TISSUES
85099C,24193,82,JUMBO  BAG BAROQUE BLACK WHITE
22355,23705,82,CHARLOTTE BAG SUKI DESIGN
84970S,23644,82,HANGING HEART ZINC T-LIGHT HOLDER
